#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,NAME ,ids,channel_id,channel_name,total_subscribers,total_views,total_videos
33,Techno Gamerz @UCX8pnu3DYUnx8qy8V_c6oHg,28.1M,0.90%,India,News Video Gaming,8.4M,,,UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,41500000,12127717154,1047
34,Wow Kidz @UCN8S4CqMRy6tVKVXvs7Bzeg,27.6M,-,India,,8.3M,,,UCN8S4CqMRy6tVKVXvs7Bzeg,WowKidz,37000000,19881724469,8524
35,infobells - Tamil @UCHcn4Ux-sO9nzNu7rDsoQLg,27.1M,-,India,Marketing and Advertising Education,8.1M,,,UCHcn4Ux-sO9nzNu7rDsoQLg,infobells - Tamil,32000000,20018773561,664
36,infobells - Telugu @UCHvoq_rGmOKJKGId1nD1V4Q,26.5M,-,India,,8M,,,UCHvoq_rGmOKJKGId1nD1V4Q,infobells - Telugu,32200000,17576782269,614
37,BB Ki Vines @UCqwUrj10mAEsqezcItqvwEw,25.5M,6%,India,Education Celebrity Business and Finance,7.7M,,,UCqwUrj10mAEsqezcItqvwEw,BB Ki Vines,26400000,4986213703,192
38,Shemaroo Movies @UCBOmfqgTZi7yDp4-3Lr_3lA,22.6M,-,India,,6.8M,,,UCBOmfqgTZi7yDp4-3Lr_3lA,Shemaroo Movies,33000000,9102589809,3440
39,White Hill Music @UCopY0NAzASqmD6eVaRj2TFQ,22.4M,-,India,,6.7M,,,UCopY0NAzASqmD6eVaRj2TFQ,Ishtar Punjabi,24000000,12034805214,6454
40,Technical Guruji @UCOhHO2ICt0ti9KAh-QHvttQ,22.2M,-,India,,6.7M,,,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23600000,3717884364,5511
41,Venus Movies @UCpcsv3Ow-8IhoUGDEfPetsQ,21.8M,-,India,,6.5M,,,UCpcsv3Ow-8IhoUGDEfPetsQ,Venus Movies,25800000,6171206412,1982
42,Wave Music Bhojpuri @UCYLlkv4hivYJlOk6Lo-RHNQ,21.8M,-,India,,6.5M,,,UCYLlkv4hivYJlOk6Lo-RHNQ,Wave Music Bhojpuri,24800000,14433752269,23890
43,Crazy XYZ @UCebC4x5l2-PQxg46Ucv9CsA,21.7M,1.30%,India,,6.5M,,,UCebC4x5l2-PQxg46Ucv9CsA,Crazy XYZ,30800000,9074988884,1368
44,Dushyant kukreja @UCo6y9hnRawAqtyWhRhblXqg,21.3M,-,India,,6.4M,,,UCo6y9hnRawAqtyWhRhblXqg,Dushyant kukreja,43400000,26576932364,1228
45,Pen Movies @UC3ar28GS6o1p0m_wabfk2zw,21.1M,-,India,Celebrity,6.3M,,,UC3ar28GS6o1p0m_wabfk2zw,Pen Movies,27500000,8196540184,1758
46,Ultra Movie Parlour @UCYauDsl-rswjQGpA0_-Z9Pw,20.8M,-,India,,6.2M,,,UCYauDsl-rswjQGpA0_-Z9Pw,Ultra Movie Parlour,26800000,5530525399,2003
47,Netflix India @UCZSNzBgFub_WWil6TOTYwAg,20.6M,-,India,Celebrity,6.2M,,,UCZSNzBgFub_WWil6TOTYwAg,Netflix India,24300000,10124010972,4741
48,Dr. Vivek Bindra: Motivational Speaker @UCR-foyF-C6VuAlwy3KZMkgA,20.5M,-,India,,6.2M,,,UCR-foyF-C6VuAlwy3KZMkgA,Dr. Vivek Bindra: Motivational Speaker,21200000,1938528174,1424
49,Goldmines Cineplex @UCCrw5RBWF9i8VPt4IxL8IsQ,20.4M,-,India,Celebrity,6.1M,,,UCCrw5RBWF9i8VPt4IxL8IsQ,Goldmines Cineplex,25100000,3293005219,4440
50,StarPlus @UC-LPIU24bQXVljUXivKEeRQ,20.1M,-,India,,6M,,,UC-LPIU24bQXVljUXivKEeRQ,StarPlus,45300000,46349700145,96032
51,DLS News @UCw0ry7cLRUnq3Oaszlhgqfg,19M,-,India,,5.7M,,,UCw0ry7cLRUnq3Oaszlhgqfg,DLS News,21100000,2823004799,5831
52,Heidi & Zidane बच्चों की कहानियाँ @UCC9Iz-AebxsyVF4iZagOtwA,18.9M,-,India,,5.7M,,,UCC9Iz-AebxsyVF4iZagOtwA,Heidi & Zidane बच्चों की कहानियाँ,19600000,13890267179,817
53,Green Gold TV - Official Channel @UCiBigY9XM-HaOxUc269ympg,18.7M,-,India,,5.6M,,,UCiBigY9XM-HaOxUc269ympg,Green Gold TV - Official Channel,21100000,10173991887,1893
54,Khan GS Research Centre @UCatL-c6pmnjzEOHSyjn-sHA,18.2M,3.80%,India,,5.5M,,,UCatL-c6pmnjzEOHSyjn-sHA,Khan GS Research Centre,23300000,2359563129,380
55,etvteluguindia @UCSs9H1cyB3OHdy8wkit8ZKg,17.8M,-,India,Celebrity Business and Finance Education Television,5.3M,,,UCSs9H1cyB3OHdy8wkit8ZKg,etvteluguindia,21300000,26221403354,143498
56,Sun TV @UCBnxEdpoZwstJqC1yZpOjRA,17.6M,-,India,,5.3M,,,UCBnxEdpoZwstJqC1yZpOjRA,Sun TV,27800000,29636970991,96187
57,Triggered Insaan @UCfLuT3JwLx8rvHjHfTymekw,17.5M,-,India,Books,5.3M,,,UCfLuT3JwLx8rvHjHfTymekw,Triggered Insaan,22500000,4131223453,347
58,Dangal TV Channel @UCNzmmbXIbMzlqE8nD1PBXfg,17.3M,-,India,,5.2M,,,UCNzmmbXIbMzlqE8nD1PBXfg,Dangal TV Channel,35400000,24468721553,33290
59,Stubborn Facts @UCJZ5gFXzSZ9i-R1HEnS8U_A,17.3M,-,India,Celebrity,5.2M,,,UCJZ5gFXzSZ9i-R1HEnS8U_A,Stubborn Facts,17100000,906596615,310
60,Sidhu Moose Wala @UC9ChdqQRCaZmTCwSJ49tcbw,17.1M,5.90%,India,,5.1M,,,UC9ChdqQRCaZmTCwSJ49tcbw,Sidhu Moose Wala,24800000,7722654476,116
61,Village Cooking Channel @UCk3JZr7eS3pg5AGEvBdEvFg,17.1M,1%,India,,5.1M,,,UCk3JZr7eS3pg5AGEvBdEvFg,Village Cooking Channel,25300000,7546686538,241
62,Busy Fun Ltd @UCkKDpnzIG29MA--Sh6oOtWg,16.9M,-,India,,5.1M,,,UCkKDpnzIG29MA--Sh6oOtWg,Busy Fun Ltd,22800000,9573480714,258
63,Kiddiestv Hindi - Nursery Rhymes & Kids Songs @UCvEAgG7WzPZnZkf9iOV_YCg,16.7M,-,India,,5M,,,UCvEAgG7WzPZnZkf9iOV_YCg,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,22700000,8176113122,266
64,Wow Kidz Action @UCCyKsYaRi62axS-kasXW7wA,16.6M,-,India,,5M,,,UCCyKsYaRi62axS-kasXW7wA,Wow Kidz Action,23400000,10182688789,4439
65,Prajapati News @UCl_Ksy6Yi1b4eEZ46FInb_w,16.1M,-,India,,4.8M,,,UCl_Ksy6Yi1b4eEZ46FInb_w,Prajapati News,17300000,1067882020,1760
66,Zappy Toons - Hindi Nursery Rhymes and Stories @UCcryiZdagSR9M-Oii_Y4OfQ,15.9M,-,India,,4.8M,,,UCcryiZdagSR9M-Oii_Y4OfQ,ZappyToons - Hindi Nursery Rhymes and Stories,21400000,9759587874,559
67,Aayu and Pihu Show @UCFcBAGR0drI3F15EhMFjuTg,15.8M,0.40%,India,Celebrity,4.7M,,,UCFcBAGR0drI3F15EhMFjuTg,Aayu and Pihu Show,18000000,10676303050,559
68,RKD Studios @UCjBwQ6M9QyCgO5Pp-TQRFUA,15.7M,-,India,Video Gaming,4.7M,,,UCjBwQ6M9QyCgO5Pp-TQRFUA,RKD Studios,23500000,5907124066,959
69,And TV @UCxJcrDUc8awRSLzLbnIiAmQ,15.7M,-,India,,4.7M,,,UCxJcrDUc8awRSLzLbnIiAmQ,And TV,22000000,19581851609,50106
70,SriBalajiMovies @UCoy3dQzEdq1y2zMnT4pdj3Q,15.5M,-,India,,4.7M,,,UCoy3dQzEdq1y2zMnT4pdj3Q,SriBalajiMovies,18800000,10968600198,26096
71,Taarak Mehta Ka Ooltah Chashmah @UCnSFZ-olBoLGLRUS_3RI2Aw,15.2M,-,India,,4.6M,,,UCnSFZ-olBoLGLRUS_3RI2Aw,Taarak Mehta Ka Ooltah Chashmah,24200000,19169466727,10685
72,NDTV India @UC9CYT9gSNLevX5ey2_6CK0Q,15.1M,-,India,,4.5M,,,UC9CYT9gSNLevX5ey2_6CK0Q,NDTV India,17400000,7930740985,124890
